tweets,classificacao,data
"i'm at ibit park in govern valadares, mg",Neutro,2014-12-26
bb avis justiç govern mg recurs cont judicialdocu,Negativo,2014-12-27
@pmmg190 pm prend autor log após roub,Positivo,2014-12-28
políci mg apresent rapaz receb drog sinté via correi mai apreens dest tip em……,Positivo,2014-12-29
"'calam financeira', govern mg compr doi helicópter",Negativo,2014-12-30
congress exag homen ano tens polít poli est min,Neutro,2014-12-31
"govern anunc ensin integr trê escol estad triângul unidad uberlândia, ituiutab e……",Positivo,2015-01-01
viç muriaé receb dos vacin contr febr amarel,Positivo,2015-01-02
"aéci nev anastácia,quebr est mg,fern pimentel ótim prefeito ótim governador,s sigl pt",Negativo,2015-01-03
pm apreend drog cas avó adolesc mont clar,Positivo,2015-01-04
rt @g1df január receb 50 mil dos vacin após mort febr amarel,Positivo,2015-01-05
rio faz bloquei contr febr amarel divis mg terr brasil,Positivo,2015-01-06
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-01-07
"@pmmg190 autor tráf drog pres políci milit bairr saramenha, our pret (mg",Positivo,2015-01-08
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar…,Neutro,2015-01-09
atir mat cinc fer oit aeroport fort lauderdal est min #notíc,Neutro,2015-01-10
not govern min geral imprens,Neutro,2015-01-11
"calam financeira, govern mg compr doi helicópter",Negativo,2015-01-12
"banc brasil cobr min r$ 1,5 bilhã depósit judic",Negativo,2015-01-13
govern anunc aument polic bel horizont geral est min,Positivo,2015-01-14
@pmmg190 autor pres tráf drog municípi conce mat dentr,Positivo,2015-01-15
políci prend nov suspeit tráf drog ipating,Positivo,2015-01-16
"starbuck qu triplic númer loj país, inclu bh econom est min",Neutro,2015-01-17
enquant psdb tir ônibu escol paul pt coloc min gerais!,Neutro,2015-01-18
@pmmg190 alago  pm localiz plant maconh apreend drog simulacr arm fog,Positivo,2015-01-19
bb avis justiç govern mg recurs cont judic,Negativo,2015-01-20
"tri pres suspeit roubo, tráf abus sex uberlând",Positivo,2015-01-21
"i'm at budegg bar in govern valadares, min geral",Neutro,2015-01-22
#timbet #glob defês civil mg confirm 16ª mort chuv est #operacaobetalab #sigodevolt,Neutro,2015-01-23
"vergonh pimentel, réu stf, bandido, continu govern min",Negativo,2015-01-24
amig famili faz passeat após desaparec casal grand bh geral est min,Neutro,2015-01-25
brasil país idiot mund vere pres receb salári r$ 9 mil carating poli est min,Negativo,2015-01-26
jov pres suspeit viol domést cárc uberlând,Positivo,2015-01-27
fern pimentel entreg viat pm govern valad,Positivo,2015-01-28
tent fug imped presídi mari,Positivo,2015-01-29
@pmmg190 itajub pm prend autor roub transeunt,Positivo,2015-01-30
rt @hugotim1 #timbet #glob pm prend jov drog tornozel eletrôn corint #operacaobetalab #si…,Positivo,2015-01-31
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-02-01
real infeliz desgraç,Neutro,2015-02-02
"quadrilh pres roubo, tráf drog homicídi brasíl min",Positivo,2015-02-03
"i'm at bairr josé in govern valadares, min geral",Neutro,2015-02-04
azul começ vend pass bh buen air r$ 357 trech econom est min,Neutro,2015-02-05
trê jov 20 ano pres envolv roub unaí,Positivo,2015-02-06
entr histór pi govern min,Negativo,2015-02-07
"rt @ivo123zarate3 hac mal ver en instagr min con buen est físic y bronce y yo acá morf y sin pileta, buen eso",Neutro,2015-02-08
"@o_antagon presid sen esnob justiça, govern min pass mão cont judic democrac herol contr ditad",Negativo,2015-02-09
govern min geral reconhec fol reil patrimôni imater est,Neutro,2015-02-10
"políci milit prend autor tent roub cacho campo, distrit our pretomg",Positivo,2015-02-11
dupl pres patrocíni suspeit envolv roub fazend,Positivo,2015-02-12
arax receb nov dos vacin contr febr amarel,Positivo,2015-02-13
quatr hom pres tráf drog janaúb,Positivo,2015-02-14
motor cobr manifest contr inseguranç juiz,Positivo,2015-02-15
políci faz blitz rua moviment bh coib consum drog entr adolesc #r7mg #recordtvmin,Positivo,2015-02-16
"i'm at govern valad @prefeituragv in govern valadares, mg",Neutro,2015-02-17
@pmmg190 coronel fabrici  pm apreend suspeit roub,Positivo,2015-02-18
g1 sul min | prefeit ampl hor vacin após cas febr amarel poços…,Positivo,2015-02-19
"i'm at feder indústr est min geral (fiemg @sistemafiemg in bel horizonte, mg",Neutro,2015-02-20
"rt @guip ""em calam financeira, govern mg compr doi helicópteros"" pra trabalh outr pra zu",Negativo,2015-02-21
"rt @castrof fal uso helicópter govern pimentel/ptmg, vm volt assunt sab q acontec lu alckmin h…",Negativo,2015-02-22
min vai dobr ofert trabalh estud presídi est,Neutro,2015-02-23
rt @silvio_mkt pimentel mente! decret 44028/2005 autoriz govern us aeronav moment laz,Negativo,2015-02-24
tip gent govern deput cab júli conden fic ineleg 10 ano poli est min,Neutro,2015-02-25
rt @robertotiburci vergonh min geral est quebr e? bal fern pimentel mei calam financ mg htt…,Negativo,2015-02-26
mg y tir un est ** coment y va rapido!!,Neutro,2015-02-27
"i'm at lucr cadastr serviç ltd in govern valadares, min geral w/ @andre280580 @tue_nunes07",Neutro,2015-02-28
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalh,Neutro,2015-03-01
prefeit formig mg abr process sele educ,Positivo,2015-03-02
"est es asi, le mg est & si lleg un corazón al priv ten sal conmig ���",Neutro,2015-03-03
@laurinahloves5h @worldms91 aja si y eso le dist mg su est mand pregunt al chat ��� bast pued,Neutro,2015-03-04
"suspeit surt febr amarel interi mg, govern alert om env equip p/ investig cas",Positivo,2015-03-05
cham design educ mg 03/01/2017,Positivo,2015-03-06
assim caminh homensvíde mostr seguranç agred mor rua port alegr nacion est min,Neutro,2015-03-07
"rt @tumaofic govern pens pres rua resolv problem presídios, aliás, criou!",Negativo,2015-03-08
jov pres suspeit viol domést cárc uberlând #operaçãobetalab,Positivo,2015-03-09
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-03-10
"brasíl min mg pm desmont quadrilh envolv tráf drogas, roub homicídi",Positivo,2015-03-11
"políci apreend arm drog distrit barr alegre, ipating #brasil",Positivo,2015-03-12
mgcas febr amarel lev est atenç,Neutro,2015-03-13
"@pmmg190 autor furt defens agrícol surpreend polícia, autor pres",Positivo,2015-03-14
saúd varg faz vacin contr febr amarel cas cas parqu rinald,Positivo,2015-03-15
"rt @hectorodrigu defend la democracia, la constitución y el est derecho!",Neutro,2015-03-16
pimentel ptist govern est mg decret est calam financ mê passado?,Negativo,2015-03-17
"após denúncia, pm apreend drogas, mun arm arax",Positivo,2015-03-18
greenfield forç mudanç funcef est min,Neutro,2015-03-19
bb avis justiç govern mg recurs cont judic,Negativo,2015-03-20
"new post ""fern pimentel entreg viat pm govern valadares""",Positivo,2015-03-21
@pmmg190 mang oper min seguranç,Positivo,2015-03-22
jov pres suspeit viol domést cárc uberlând,Positivo,2015-03-23
"jornaloglob trê anos, presídi priv min geral rebel #timbet…",Positivo,2015-03-24
"calam financeira, govern mg compr doi helicópter by #jeversona4 via @c0nvey",Negativo,2015-03-25
atir mat cinc fer oit aeroport fort lauderdal – est min uol…,Neutro,2015-03-26
"100% corret fern esperem, entretanto, cf neg arreg mg atual narr ™ foi…",Neutro,2015-03-27
men det drog balanç precis mont clar,Positivo,2015-03-28
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-03-29
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar//////,Neutro,2015-03-30
vacin contr febr amarel intensific zon rural uberab #timbet,Positivo,2015-03-31
� bel horizonte/ � mg polic milit apreend grand quant drog escond fund fals,Positivo,2015-04-01
caminhon suspeit forj roub carg pres arax,Positivo,2015-04-02
rt @transitobh googl bhtr disponibiliz hor linh municip bh temp real geral est min,Neutro,2015-04-03
políci mg apresent rapaz receb drog sinté via correi,Positivo,2015-04-04
"tent fug presídi marianamg, madrug 30/01",Positivo,2015-04-05
#educaçãomg govern min geral reconhec fol reil patrimôni imater estado…,Neutro,2015-04-06
contrat profes começ nest terçaf juiz,Positivo,2015-04-07
"rt @antoniocsm govern min geral gast r$ 50,8 milhã helicópter",Negativo,2015-04-08
"pm apreend arm fogo, mun drog juiz",Positivo,2015-04-09
campanh prevenç febr amarel iníci córreg fund gost dê rt!!,Positivo,2015-04-10
"#timbet #glob tri pres suspeit roubo, tráf abus sex uberlând #operacaobetalab #sigodevolt",Positivo,2015-04-11
est recomend atenç espec contr malár val jequitinhonh geral est min,Neutro,2015-04-12
cão pm encontr drog hom pres mont clar #somostodosdilm #raynni #buyraynniereonitun,Positivo,2015-04-13
"#informeeduc govern min anunci adoec lei 100, mei plc138 receb déc",Neutro,2015-04-14
ibmec/mg alcanç percent incr exam oab 80% alun aprovados! saib mais…,Positivo,2015-04-15
profiss saúd trabalh descans vacin contr #febreamarel min,Positivo,2015-04-16
"""a gigantesc barb mal"" destaqu cadern cult est min",Neutro,2015-04-17
suspeit envolv roub banc sul mg pres,Positivo,2015-04-18
bb avis justiç govern mg recurs cont judic by #folh via @c0nvey,Negativo,2015-04-19
process design profes estad min feit internet,Positivo,2015-04-20
tem alt program soc lul dilm poli est min,Neutro,2015-04-21
trê jov 20 ano pres envolv roub unaí,Positivo,2015-04-22
ipv descont próx segund geral est min,Neutro,2015-04-23
"ness presídi min detent fic soltos, estud trabalham…",Neutro,2015-04-24
"@thneves10 bem vind mai minas, aqu despont ronald fenômen club troféu est",Neutro,2015-04-25
"políci civil flagr entreg drog celul pres divinópolis, mg",Positivo,2015-04-26
rt @pmmg190 @pmmg190 apreens drog bairr min geral,Positivo,2015-04-27
após roub distrit rio vermelh equip polic reg prend autor serr azul min dia 24,Positivo,2015-04-28
políci civil min geral prend exvere esmerald acus tráf droga…,Positivo,2015-04-29
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2015-04-30
políci prend nov suspeit tráf drog ipating,Positivo,2015-05-01
"""model seguranç legado"", diz cláudi beat poli est min",Neutro,2015-05-02
rt @carlinibh prefeit bh prepar plan reforç vacin contr febr amarel geral est min,Positivo,2015-05-03
"rebel 10 ano funcionamento, nov model gest consegu 60% recuper presos…",Positivo,2015-05-04
"políci feder políci civil combat roub carg medina, mg",Positivo,2015-05-05
pt send pt aind gent apó viu,Negativo,2015-05-06
men det drog balanç precis mont clar,Positivo,2015-05-07
prefeit aimoré decret est emerg administr #somostodosdilm #raynni #buyraynniereonitun,Negativo,2015-05-08
rio faz bloquei contr febr amarel municípi divis min geral #timbet #sdv #betaajudabet,Positivo,2015-05-09
prefeit juiz apresent açõ prevenç febr amarel,Positivo,2015-05-10
doi det tent jog celul drog presídi mg ocorr registr pert sebastião…,Positivo,2015-05-11
banc brasil avis justiç govern mg recurs cont judic,Negativo,2015-05-12
#brasilmetropol govern min geral regulament marc regulatóri osc #minasger,Positivo,2015-05-13
"calam financeira, govern mg compr doi helicópter |",Negativo,2015-05-14
"g1 tent fug imped presídi mariana, mg, diz secret #g1",Positivo,2015-05-15
petist pimentel,Negativo,2015-05-16
doi det tent jog celul drog presídi mg,Positivo,2015-05-17
tt identific autor massacr boat istambul est min,Neutro,2015-05-18
@i5gornasc #i5gornasc motor cobr manifest contr inseguranç juiz,Positivo,2015-05-19
rt @hugotim1 #timbet #glob trê hom det após roub loj celul ipating #operacaobetalab…,Positivo,2015-05-20
deput pression tem grand obr mg saír papel poli est min,Neutro,2015-05-21
#matipó matipó/mg autor #roub pres #políc milit #celul #fac #vit,Positivo,2015-05-22
políci civil apresent dupl pres tráf drog patrocíni #operaçãobetalab,Positivo,2015-05-23
assang rejeit relatóri eua sobr inger eleitor russ est min,Neutro,2015-05-24
"govern pag r$ 2,4 bilhã empreit alv lavajat est min",Neutro,2015-05-25
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-05-26
#timbet #glob políci mg apresent rapaz receb drog sinté via correi #operacaobetalab #sigodev…,Positivo,2015-05-27
jov pres suspeit viol domést cárc uberlând,Positivo,2015-05-28
muriaé (mg – pm apreend drog dinh bairr cristóv 3 conduz delegac,Positivo,2015-05-29
@pmmg190 hom pres tent pratic roub,Positivo,2015-05-30
prefeit juiz divulg convoc educ infantil,Positivo,2015-05-31
"rt @sdronsh i'm at term rodovi govern israel pinh @pbhonlin in bel horizonte, mg",Neutro,2015-06-01
rt @josetomazfilh bb avis justiç govern mg desgovern pt recurs cont judic …,Negativo,2015-06-02
"rt @yamadactbage ant apareç desinform perguntando, govern vai pod vend aquífer guaran",Negativo,2015-06-03
#i5gornasc @i5gornasc g1 trê hom det após roub loj celul ipating,Positivo,2015-06-04
políci civil identif suspeit roub ônibu juiz,Positivo,2015-06-05
govern mg prev aterr estaçã lix centroo,Positivo,2015-06-06
"rt @maglor52 mei cris carcerária, padilh cit darcy rib twitt nacion est min",Neutro,2015-06-07
"após denúncia, pm apreend drogas, mun arm arax",Positivo,2015-06-08
bom dia alô dr secret seguranç públic pm pe espelhems pm min geral,Positivo,2015-06-09
cap est min dest sáb saib tud,Neutro,2015-06-10
"em_com bom dia! cap est min dest domingo, 8 jan 2017 lei #timbet #sdv",Neutro,2015-06-11
govern min geral regulament marc regulatóri osc,Positivo,2015-06-12
prefeit uberlând decret est calam financ,Negativo,2015-06-13
@omonstax porq vc pens faz faculdad aqu mg? pert est,Neutro,2015-06-14
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2015-06-15
rt @hugotim1 #timbet #glob trê jov 20 ano pres envolv roub unaí #operacaobetal…,Positivo,2015-06-16
rt @hugotim1 #timbet #glob govern min geral confirm 60 mort febr amarel #operacaobetalab #sigod…,Positivo,2015-06-17
#operacaobetalab #timbet #bet #betalab #betaajudabet #betaseguebet uol govern calam financ bb a…,Negativo,2015-06-18
"pm prend autor roub post combustível, bairr senh graç",Positivo,2015-06-19
"new post ""tr adolesc apreend tráf drog ipatinga""",Positivo,2015-06-20
"rt @call_me_jess i'm at joã delr in joã delrei, est min geral",Neutro,2015-06-21
"últ dia 06, fol reil reconhec patrimôni cult imater est min",Neutro,2015-06-22
onu expuls integr danç guerrilh farc réveillon internac est min,Neutro,2015-06-23
políci apreend drog mont clar hom pres,Positivo,2015-06-24
rt @pmmg190 @pmmg190 pris tráf drog estelionat,Positivo,2015-06-25
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #uolnotic via @c0nvey",Negativo,2015-06-26
fern pimentel entreg viat pm govern valad,Positivo,2015-06-27
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #uol via @c0nvey",Negativo,2015-06-28
@otemp vão cobr isto?,Neutro,2015-06-29
inacreditável!!>>>>govern min geral compr doi helicópter,Negativo,2015-06-30
próx cachaç mulher!,Neutro,2015-07-01
"@mgfernetmgbirr 10 hor ant borr mi estado, sac nuestr fot tod lados,y le dist mg una zorr �",Neutro,2015-07-02
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #chico_pinh via @c0nvey",Negativo,2015-07-03
"quadrilh pres tráf drog timóteo, mg",Positivo,2015-07-04
"políci detém suspeit sequestr guarani, mg",Positivo,2015-07-05
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #heliovesp via @c0nvey",Negativo,2015-07-06
"tt morre, 92 anos, expresid portug mári so est min",Neutro,2015-07-07
prefeit juiz apresent açõ prevenç febr amarel,Positivo,2015-07-08
govern mg expuls 117 serv 2016 infr disciplin,Positivo,2015-07-09
bb avis justiç govern mg desgovern pt recurs cont judic,Negativo,2015-07-10
govern min geral nome 2500 trabalh educ,Positivo,2015-07-11
suspeit envolv roub banc sul mg pres,Positivo,2015-07-12
59 escolh est rj sp mg rs,Neutro,2015-07-13
#su sesmg convoc cole fal situ #febreamarel est @saudemg @gotassalv,Neutro,2015-07-14
"rt @portalu bom dia! cap est min dest domingo, 8 jan 2017 lei",Neutro,2015-07-15
prefeit aimoré decret est emerg administr,Negativo,2015-07-16
"favor amig mineiros, falt tir corrupt com min gerais??",Neutro,2015-07-17
rt @soeiroanit govern valad registr doi assassinat menos hor,Neutro,2015-07-18
"trê anos, presídi priv min geral rebel",Positivo,2015-07-19
@pmmg190 22°bpm pop gep 125ª cia apreend drog arm bail funk vil ambrosin,Positivo,2015-07-20
"mg registr 23 cas prov febr amarela, 14 mort",Neutro,2015-07-21
min geral receb auxíli forç nacion su cas febr amarel,Positivo,2015-07-22
bb avis justiç govern mg recurs cont judic,Negativo,2015-07-23
secret irá implant nov sistem design 2017,Positivo,2015-07-24
rt @carlinibh ufmg bat própri record lid ped patent brasil geral est min,Neutro,2015-07-25
"notific febr amarel declínio, afirm govern mg",Positivo,2015-07-26
"políci detém suspeit sequestr guarani, mg",Positivo,2015-07-27
@pmmg190 buritil apreens drog,Positivo,2015-07-28
rt @anjokamax #naoconfiamosnostf põe cont @stf_ofic cumpr papel afast pimentel est mg pod cobra…,Negativo,2015-07-29
"acid tr deix 100 fer brooklyn, ny est min",Neutro,2015-07-30
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-07-31
"pm apreend maconh celul presídi coronel fabriciano, mg",Positivo,2015-08-01
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-08-02
"i'm at praç govern valad @_luucas_vi in mart campos, min geral",Neutro,2015-08-03
campanh prevenç febr amarel iníci córreg fund,Positivo,2015-08-04
"rithely receb propost palmeiras, corinthians, atleticomg, int flumin pra convoc mud est pen",Neutro,2015-08-05
"grup pres tráf drog roub chácara, mg",Positivo,2015-08-06
bb avis justiç govern mg recurs cont judic #domesticnew,Negativo,2015-08-07
prefeit uberlând decret est calam financ poli est min,Negativo,2015-08-08
rt @bigodegalodo galouc mai est #atleticanosegueatletic,Neutro,2015-08-09
contrat profes começ nest terçaf juiz,Positivo,2015-08-10
"""model seguranç legado"", diz cláudi beat poli est min",Neutro,2015-08-11
#i5gornasc @i5gornasc g1 hom pres sab suspeit estupr roub celul,Positivo,2015-08-12
agricul vacin contr febr amarel es mg,Positivo,2015-08-13
@pmmg190 set pres men apreend tráf drog,Positivo,2015-08-14
#míd pres releas from busines wir consum technology est min,Neutro,2015-08-15
"obje reprim tráf drogas, políci civil min geral (pcmg prend flagr josé",Positivo,2015-08-16
políci mg apresent rapaz receb drog sinté via correi,Positivo,2015-08-17
políci civil mat 07 “cangaceiros” nort min imped roub banc (mal inform,Positivo,2015-08-18
"new post ""dupl pres patrocíni suspeit envolv roub fazenda""",Positivo,2015-08-19
nasc fim mund mg ach q est tod daquel jeit uberlând eh top,Neutro,2015-08-20
brasil presídi min adot nov model conseg recuper 60% pres entorno,Positivo,2015-08-21
govern min lanç 4ª edit incen inov tecnológ empreendedor,Neutro,2015-08-22
oper contr furt roub realiz pat min açã obje repreend crim presidente……,Positivo,2015-08-23
"govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar,,,,,,",Neutro,2015-08-24
rio faz bloquei contr febr amarel municípi divis min geral,Positivo,2015-08-25
sesmg mantém est atenç investig cas febr amarel #anv,Neutro,2015-08-26
"i'm at giorgi gastrô in govern valadares, mg w/ @tue_nunes07 @combatentemg @cleverson0505 @newrandley",Neutro,2015-08-27
#i5gornasc @i5gornasc @cristi ufjf abr 62 vag curs govern valad,Neutro,2015-08-28
"casal det suspeit tráf drog iapu, mg",Positivo,2015-08-29
quero! azul começ vend pass bh buen air r$ 357 trech econom est min,Neutro,2015-08-30
@pmmg190 lourenç  adolesc apreend tráf drog,Positivo,2015-08-31
"rt @hebert_vi banc brasil cobr min r$ 1,5 bilhã depósit judic",Negativo,2015-09-01
rt @uuntparticul presídi min adot nov model conseg recuper 60% pres,Positivo,2015-09-02
rt @gisai ativ volt rua bh contr aument tarif ônibu geral est min,Neutro,2015-09-03
"calam financeira, govern mg compr doi helicópter |",Negativo,2015-09-04
hom pres sab suspeit estupr roub celul,Positivo,2015-09-05
pres roub cas juiz têm histór crim violent #operaçãobetalab,Positivo,2015-09-06
contrat profes começ nest terçaf juiz,Positivo,2015-09-07
@pmmg190 milit 150ª cia pm faz apreens drog bairr sebast,Positivo,2015-09-08
políci civil identif suspeit roub ônibu juiz,Positivo,2015-09-09
polic folg imped roub detém ladr juiz,Positivo,2015-09-10
rt @n_carvalh bb govern min tr disput sobr depósit judic,Negativo,2015-09-11
"goiás, situação? ""banc brasil cobr min r$ 1,5 bilhã depósit judiciaisc",Negativo,2015-09-12
líd motim presídi min geral transfer,Positivo,2015-09-13
rt @aristotelessd med el gobiern del est adopt frent al increment combustibl en apoy la economí famili,Neutro,2015-09-14
atent suic contr merc bagd faz menos 18 mort est min,Neutro,2015-09-15
rt @marlidzdz59 kalil volt atrás cancel desoner 280 serv bh poli est min,Neutro,2015-09-16
suspeit tráf drog det r$ 22 mil juiz,Positivo,2015-09-17
alckmin dor anunc integr red educ paul nacion est min,Neutro,2015-09-18
fern pimentel entreg viat pm govern valad,Positivo,2015-09-19
"new post ""prefeit ribe nev decret est calam financeira""",Negativo,2015-09-20
"bom dia seg ocorr lavras,mg êxit capt autor roub gost qu",Positivo,2015-09-21
min vai dobr ofert trabalh estud presídi est,Neutro,2015-09-22
"rt @epocanegoci ""calam financeira"", govern mg compr doi helicópter",Negativo,2015-09-23
@pmmg190 milit prend autor tráf drog,Positivo,2015-09-24
#alert nom cee utiliz golp est,Neutro,2015-09-25
prefeit juiz apresent açõ prevenç febr amarel #somostodosdilm #raynni #buyraynniereo…,Positivo,2015-09-26
"banc brasil cobr min r$ 1,5 bilhã depósit judic",Negativo,2015-09-27
@pmmg190 pm frustr tent furt boa esperanç,Positivo,2015-09-28
hom pres agred seguranç club trê coraçã (mg,Positivo,2015-09-29
"rt @famososclassic jam rodrígu declaró tra su actuación contr el sevill ""tod el equip ha est bien y cu eso suced uno…",Neutro,2015-09-30
"pm prend rapaz vadi uso drog centr raul soares, mg",Positivo,2015-10-01
"new post ""hom pres sab suspeit estupr roub celular""",Positivo,2015-10-02
criminal nov york cai men nível 25 ano est min,Positivo,2015-10-03
"i'm at big in govern valadares, min geral w/ @andre280580 @tue_nunes07 @brenasunshin @newrandley",Neutro,2015-10-04
contrat profes começ nest terçaf juiz #g1,Positivo,2015-10-05
ônibu carreg drog flagr mg353 motor pres #somostodosdilm #raynni #buyraynniereonitun…,Positivo,2015-10-06
bb avis justiç govern min geral usou dinh depósit judic rep,Negativo,2015-10-07
"g1 tent fug imped presídi mariana, mg, diz secret #g1 #timbet",Positivo,2015-10-08
oper contr furt roub realiz pat min,Positivo,2015-10-09
"calam financeira, govern mg compr helicópter >",Negativo,2015-10-10
"após agredida, mulh atir contr hom govern valad",Neutro,2015-10-11
"doi hom pres tráf drog japonvar, nort mg",Positivo,2015-10-12
govern min ivec entreg 401 ônibu escol municípi,Positivo,2015-10-13
ativ volt rua bh contr aument tarif ônibu geral est min,Neutro,2015-10-14
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-10-15
#timbet #glob trê hom det após roub loj celul ipating #operacaobetalab #sigodevolt,Positivo,2015-10-16
"olh reeleição, rodrig mai reún deput recif almoç poli est min",Neutro,2015-10-17
@pmmg190 doi hom pres drog bairr jardim canad,Positivo,2015-10-18
"min bost política, dá vergonh est",Neutro,2015-10-19
políci civil apresent dupl pres tráf drog patrocíni,Positivo,2015-10-20
rt @reutersbrazil bb avis justiç govern mg recurs cont judic,Negativo,2015-10-21
rt @tradersclubbr bb avis justiç govern mg recurs cont judic,Negativo,2015-10-22
hom mort tir após deix presídi govern valad,Neutro,2015-10-23
banc brasil cobr restitu recurs depósit judic govern min #painelalvor,Negativo,2015-10-24
cap est min hoj,Neutro,2015-10-25
#timbet #glob pm moni cas prend hom drog arm mont clar #operacaobetalab #sigodevolt,Positivo,2015-10-26
"calam financeira, govern mg (pt compr doi helicópter",Negativo,2015-10-27
"calam financeira, fern pimentel compr doi helicópter",Negativo,2015-10-28
"i'm at math lobat in math lobato, est min geral",Neutro,2015-10-29
"rt @estadaopoli calam financeira, govern min geral compr doi helicópter",Negativo,2015-10-30
pm apreend maconh celul presídi coronel fabrici,Positivo,2015-10-31
@pmmg190 manhuaçu  pm recup motociclet furt ant vítim sab sobr furt,Positivo,2015-11-01
"govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar,,,,",Neutro,2015-11-02
bb avis justiç govern mg recurs cont judic + helicópter gov min pilantrel,Negativo,2015-11-03
@pmmg190 apreens drog bairr jorg,Positivo,2015-11-04
ônibu carreg drog flagr mg353 motor pres,Positivo,2015-11-05
cham inic design iníci dia 18 jan 2017,Positivo,2015-11-06
"rt @tue_nunes07 i'm at lago perol in govern valadares, min geral",Neutro,2015-11-07
"@pmmg190 políci milit apreend men tráf drog poss ileg arm fogo, bairr sã",Positivo,2015-11-08
"ness presídi min detent fic soltos, estud trabalh exist viol",Positivo,2015-11-09
min vai dobr ofert trabalh estud presídi est,Neutro,2015-11-10
"corp est decompos encontr poç caldas, mg",Neutro,2015-11-11
���,Positivo,2015-11-12
"@pmmg190 ribe nev milit 40º bpm apreend arm fogo, drogas, dinh veícul",Positivo,2015-11-13
#timbet #glob január receb 50 mil dos vacin após mort febr amarel #operacaobetalab #sigodevolt,Positivo,2015-11-14
betim cont intensific vacin contr febr amarel nest sáb,Positivo,2015-11-15
"hom pres após transport drog ônibu turismo, mg #somostodosdilm #raynni #buyraynniereonitun",Positivo,2015-11-16
#timbet #glob caminhon suspeit forj roub carg pres arax #operacaobetalab #sigodevolt,Positivo,2015-11-17
"@nibarg rj , fiqu espert safado, dev govern minas, graç cov saf teor stf",Negativo,2015-11-18
"@castro2mon então, govern min gerais?",Negativo,2015-11-19
"#timbet #glob políci apreend arm drog distrit barr alegre, ipating #operacaobetalab #sigodev…",Positivo,2015-11-20
trê jov 20 ano pres envolv roub unaí,Positivo,2015-11-21
"políci milit apreend men tráf drog poss ileg arm fogo, bairr francisco,",Positivo,2015-11-22
#noticiasdorenan govern min geral reconhec fol reil patrimôni imaterial…,Neutro,2015-11-23
prefeit uberlând decret est calam financ,Negativo,2015-11-24
#bet #betalab #mg grup cicl faz protest seguranç estr min,Positivo,2015-11-25
"i'm at pomp in pompeu, est min geral",Neutro,2015-11-26
govern anunc ensin integr trê escol estad triângul,Positivo,2015-11-27
govern anunc ensin integr trê escol estad triângul #notic,Positivo,2015-11-28
prefeit uberlând decret est calam financ,Negativo,2015-11-29
"rt @pandarcd pt conhec vid marajá,mesm est min geral quebrado!!!",Negativo,2015-11-30
"pong un est odi todos, mil mg si pong alg tip ni una menos, monsanto, cuestion jod y dan bol",Neutro,2015-12-01
rt @mulhertamar min acab dinh depósit judic haahahh (vi @albertolag (not n…,Negativo,2015-12-02
"i'm at claud cabeleir in govern valadares, mg",Neutro,2015-12-03
#timbet #glob govern mg prev aterr estaçã lix centroo #operacaobetalab #sigodevolt,Positivo,2015-12-04
rt @iameggu notificación | part del 1 ener pag tas inspeccion (50 ut según el art 77 la ley min ( del e…,Neutro,2015-12-05
@i5gornasc @i5gornasc #i5gornasc men det 142 pedr crack outr drog ip,Positivo,2015-12-06
"calam financeira, govern min geral compr doi helicópter",Negativo,2015-12-07
tri suspeit roub carg pres sant luz (mg #r7mg #recordtvmin,Positivo,2015-12-08
"alt pib dest ano seg 0,50%, afirm focu est min",Neutro,2015-12-09
min vai dobr ofert trabalh estud presídi est,Neutro,2015-12-10
"lo abusos, aun en el est má sólido, son min sord tard tempr estallan #frasedeldí",Neutro,2015-12-11
"bom dia! vej cap ediç digit est min hoje, 09 jan lei no…",Neutro,2015-12-12
jov pres suspeit viol domést cárc uberlând #notic,Positivo,2015-12-13
portug prepar adeu mari so est min,Neutro,2015-12-14
"rt @brunoboghossian cármen dev julg próx dia reclam govern mg sobr bloquei cont est ""moment gra…",Neutro,2015-12-15
lix tom cont praç pap manhã dest segundaf geral est min @olibarj,Neutro,2015-12-16
"#timbet #glob doi hom pres tráf drog japonvar, nort mg #operacaobetalab #sigodevolt",Positivo,2015-12-17
